AccountNo,Year,Make,Model,VIN,Odometer,SaleDate,TypeDeal,APR,CurrentBalance,AmtToFinance,FirstPayDueDate,PaymentAmount,LastPayAmount,Down,NextPaymentDate,LastPaymentDate,NumberOfPayments,PaymentTerms,PaymentPeriod,NumberTradins,OpenBalance,TotalSalePrice,TotalOfPayments,TradeIn,TradeACV,TradePayoff,FinanceCharge,PrinCollected,IntCollected,SaleNo,Address,City,State,Zip
,2012,Chevrolet,Impala,2G1WC5E30C1284409,109170,10/31/2017,BS,29.8,0,10726.88,11/14/2017,234.97,0,1700,11/14/2017,,65,65 BI-WEEKLY,BI-WEEKLY,0,10726.88,16973.05,15273.05,0,0,0,4546.17,,,2149,1001 CHASE VILLAGE DR,Jonesboro,GA,30236-
,2007,Lexus,ES 350,JTHBJ46G072137826,147466,9/6/2017,BS,29.8,0,13386.38,9/20/2017,293.22,0,2500,9/20/2017,,65,65 BI-WEEKLY,BI-WEEKLY,0,13386.38,21559.3,19059.3,0,0,0,5672.92,,,2041,907 CRESTE LN,Decatur,GA,30035-
,2006,Nissan,Maxima,1N4BA41E46C854025,0,8/19/2017,BS,29.8,0,10269.25,9/2/2017,224.94,0,1400,9/2/2017,,65,65 BI-WEEKLY,BI-WEEKLY,0,10269.25,16021.1,14621.1,0,0,0,4351.85,,,2025,3783 SOAPSTONE RD,Decatur,GA,30034-
,2008,Nissan,Altima,1N4AL21E18N446292,122260,11/8/2017,BS,29.8,0,11208.62,11/22/2017,233.72,0,1000,11/22/2017,,70,70 BI-WEEKLY,BI-WEEKLY,0,11208.62,17360.4,16360.4,0,0,0,5151.78,,,2163,12100 SPRINGS LN APT H,Norcross,GA,30092-
,2009,Chevrolet,Impala,2G1WB57K691142646,144736,10/5/2017,BS,29.8,0,10232.25,10/21/2017,209.84,0,1000,10/21/2017,,72,72 BI-WEEKLY,BI-WEEKLY,0,10232.25,16108.48,15108.48,0,0,0,4876.23,,,2097,3124 DESTIN CIRCLE,LILBURN,GA,30047
10000,2007,LEXUS,RX 350  4D UTILITY A,2T2HK31U77C011136,70302,7/26/2010,C,0,0,0,7/26/2010,13159.88,0,13159.88,,,1,,MONTHLY,1,0,18159.88,0,5000,0,0,0,0,0,313,3705 POSTWAITE CIR,DULUTH,GA,30097
10189,2000,LEXUS,RX 300  4D UTILITY F,JT6GF10U6Y0072488,177254,4/1/2011,BP,9.9,0,8849.58,4/16/2011,155.49,0,2400,6/1/2012,5/31/2012,65,65 SEMI-MONTHLY,SEMI-MONTHLY,1,10106.85,13506.85,10106.85,1000,0,0,1257.27,3412.1,827.32,427,1108 CHASE LN,NORCROSS,GA,30093
10446,2002,MITSUBISHI,LANCER OZ SEDAN,JA3AJ86E32U064739,0,2/11/2008,BP,29.8,0,7133.74,2/25/2008,138.83,1.45,2700,10/18/2010,10/22/2010,78,78 BI-WEEKLY,BI-WEEKLY,0,10830.19,13530.19,10830.19,0,0,0,3696.45,1314.09,183.57,2,4818 COCHISE CT,LILBURN,GA,30047
10492,1999,TOYOTA,COROLLA VE SEDA,1NXBR12E7XZ200160,0,2/20/2008,BP,29.8,1180.44,7578.24,3/8/2008,154.88,0,1000,5/15/2010,,76,76 SEMI-MONTHLY,SEMI-MONTHLY,0,11770.88,12770.88,11770.88,0,0,0,4192.64,0,0,3,5337 JAY WAY NW,LILBURN,GA,30047
10524,1999,HONDA,ACCORD EX,1HGCG165XXA006332,0,10/21/2008,BP,29.8,3306.06,10443.86,10/31/2008,202.6,0,1000,10/1/2010,10/15/2010,78,78 BI-WEEKLY,BI-WEEKLY,0,15802.8,16802.8,15802.8,0,0,0,5358.94,1337.5,526.34,4,223 WINDMONT DRIVE NE,ATLANTA,GA,30329
10531,2004,DODGE,NEON SXT SEDAN,1B3ES56C84D615216,0,7/18/2008,BP,29.8,0,9081.88,8/1/2008,176.76,0,1000,,8/6/2011,78,78 BI-WEEKLY,BI-WEEKLY,0,13787.28,14787.28,13787.28,0,0,0,4705.4,4571.36,702.58,5,3886 MORAN WAY,NORCROSS,GA,30092
10709,1998,NISSAN,ALTIMA GLE SEDA,1N4DL01D7WC199099,0,2/24/2009,BP,29.8,5016.35,7810.41,3/10/2009,152.01,0,1000,11/30/2010,11/12/2010,78,78 BI-WEEKLY,BI-WEEKLY,0,11856.78,12856.78,11856.78,0,0,0,4046.37,1293.18,682.93,6,2807 SUMMERWALK PARKWAY,TUCKER,GA,30084
10781,2002,JEEP,LIBERTY LIMITED,1J8GL58K82W178420,0,3/26/2009,BP,29.8,5669.45,12242.52,4/10/2009,248.21,0,1000,7/16/2010,7/2/2010,78,78 BI-WEEKLY,BI-WEEKLY,0,19860.38,20860.38,19360.38,0,0,0,6617.86,441.77,302.86,7,10250 BILLINGS POINTE,ALPHARETTA,GA,30022
10802,1997,LEXUS,ES 300  SEDAN,JT8BF22G8V0060398,0,6/17/2009,BP,23.9,0,10299.56,7/15/2009,192.15,0,0,6/15/2010,6/25/2010,78,78 SEMI-MONTHLY,SEMI-MONTHLY,0,14987.7,14987.7,14987.7,0,0,0,4688.14,0,0,8,620 MARYLEBONE DRIVE,SUWANEE,GA,30024
10837,2003,FORD,WINDSTAR VANS S,2FMDA534X3BB56409,0,5/18/2009,BP,29.8,0,9930.16,6/1/2009,262.02,0,1000,,4/18/2011,50,50 BI-WEEKLY,BI-WEEKLY,0,13101,14101,13101,0,0,0,3170.84,5317.35,679.83,9,4951 OLD NORCROSS ROAD,DULUTH,GA,30096
10851,2004,MITSUBISHI,GALANT ES,4A3AB36F94E123667,0,6/30/2009,BP,29.8,7637.79,8929.73,7/15/2009,197.42,0,900,9/30/2010,9/10/2010,68,68 SEMI-MONTHLY,SEMI-MONTHLY,0,13524.56,14424.56,13424.56,0,0,0,4394.83,936.21,650.56,10,792 ROXBORO TRACE,LILBURN,GA,30044
10862,2003,KIA,OPTIMA LX SEDAN,KNAGD128235203794,0,10/17/2009,BP,29.8,0,3232.88,10/31/2009,101.21,0,4000,,4/9/2011,40,40 BI-WEEKLY,BI-WEEKLY,0,4048.4,8048.4,4048.4,0,0,0,815.52,2117.28,294.13,11,1210 STONEVIEW TRAIL NW,LILBURN,GA,30047
10867,1998,MAZDA,626 ES SEDAN,1YVGF22D1W5766088,0,8/1/2009,BP,29.8,0,7671.02,8/10/2009,167.61,0,600,,4/11/2012,70,70 BI-WEEKLY,BI-WEEKLY,0,12132.7,12732.7,11732.7,0,0,0,3661.68,6405.02,1802.87,12,10420 COLONY GLEN DRIVE,ALPHARETTA,GA,30022
10871,2001,CHRYSLER,PT CRUISER  UTI,3C8FY4BB81T610661,0,11/19/2009,BP,29.8,6664.58,7607.86,12/3/2009,184.6,0,600,7/3/2010,7/21/2010,65,65 SEMI-MONTHLY,SEMI-MONTHLY,0,12599,13199,11999,0,0,0,3791.14,321.45,384.11,13,2560 WHITE ROAD NE,CONYERS,GA,30012
10874,2002,MITSUBISHI,ECLIPSE GS COUP,4A3AC44G02E011223,0,7/29/2009,BP,29.8,9120.84,9189.13,8/12/2009,178.84,0,2000,8/25/2010,8/13/2010,78,78 BI-WEEKLY,BI-WEEKLY,0,13949.52,15949.52,13949.52,0,0,0,4760.39,567.81,505.23,14,1337 EWING CHAPEL ROAD,DACULA,GA,30019
10879,2004,PONTIAC,GRAND PRIX GT S,2G2WP522741314227,0,9/3/2009,BP,29.8,0,10335.16,9/19/2009,201.48,0,1500,,8/17/2012,78,78 BI-WEEKLY,BI-WEEKLY,0,15715.44,17215.44,15715.44,0,0,0,5380.28,8792.96,3087.2,15,3324 CLUB PLACE,DULUTH,GA,30096
10880,2000,ACURA,3.5RL  SEDAN,JH4KA9650YC013238,0,8/18/2009,BP,29.8,0,10399.83,8/31/2009,208.58,0,2600,,11/6/2012,78,78 SEMI-MONTHLY,SEMI-MONTHLY,0,16269.24,18869.24,16269.24,0,0,0,5869.41,8769.55,3328.09,16,388 EAGLE TIFF DRIVE,SUGAR HILL,GA,30518
10890,2002,CHRYSLER,PT CRUISER LIMI,3C8FY68B02T332455,0,8/17/2009,BP,29.8,7463.7,11279.86,8/22/2009,115.1,0,1500,7/31/2010,7/30/2010,150,150 WEEKLY,WEEKLY,0,17565,19065,17265,0,0,0,5685.14,557.68,486.32,17,3286 FORETTE LANE,LITHONIA,GA,30038
10901,2000,HONDA,ACCORD SE SEDAN,1HGCG5672YA046558,0,2/11/2010,BP,29.8,0,9046.88,2/25/2010,187.75,0,1000,7/14/2011,5/5/2011,78,78 BI-WEEKLY,BI-WEEKLY,0,15244.5,16244.5,14644.5,0,0,0,4997.62,2595.78,2654.93,18,3780 OLD NORCROSS ROAD B103S35,DULUTH,GA,30096
10903,2003,CHRYSLER,SEBRING LXI COU,4C3AG52H43E047803,0,9/28/2009,BP,29.8,0,8711.86,10/3/2009,176.04,0,700,6/12/2010,9/28/2010,78,78 BI-WEEKLY,BI-WEEKLY,0,14131.12,14831.12,13731.12,0,0,0,4619.26,84.98,95.02,19,721 GLENWOOD WAY,STOCKBRIDGE,GA,30281
10906,2004,NISSAN,ALTIMA  SEDAN,1N4AL11D54C105050,0,10/9/2009,BP,29.8,0,11828.02,10/23/2009,259.09,0,1780,2/24/2012,3/1/2012,65,65 BI-WEEKLY,BI-WEEKLY,0,16840.85,18620.85,16840.85,0,0,0,5012.83,8802.27,2836.42,20,302 GODSELLS ST,SAVANNAH,GA,31405
10907,2004,TOYOTA,MATRIX,2T1KR32E44C196481,0,9/14/2009,BP,29.8,0,11290.88,9/28/2009,247.32,0,1660,6/7/2010,6/1/2010,65,65 BI-WEEKLY,BI-WEEKLY,0,16075.8,17735.8,16075.8,0,0,0,4784.92,0,0,21,114 ARBOR DRIVE,DULUTH,GA,30096
10910,1999,MITSUBISHI,MONTERO SPOR,JA4MT31H7XP000281,0,10/2/2009,BP,29.8,8400,8605.3,10/16/2009,200,0,500,9/17/2010,9/4/2010,65,65 BI-WEEKLY,BI-WEEKLY,0,13525.32,14025.32,13000,0,0,0,3869.38,871.56,728.44,22,184 BELAIR DRIVE,STOCKBRIDGE,GA,30281
10911,1999,LEXUS,ES 300  SEDAN,JT8BF28G8X0232715,0,9/8/2009,BP,29.8,0,8761.56,9/19/2009,198,0,1000,,2/24/2012,65,65 BI-WEEKLY,BI-WEEKLY,0,13170,14170,12870,0,0,0,3808.44,7289.46,1992.54,23,1004 ASHLEY CREEK CIRCLE,STONE MOUNTAIN,GA,30083
10912,1999,TOYOTA,CAMRY SOLARA SE,2T1CF22P4XC205127,0,10/5/2009,BP,29.8,0,9420.86,11/1/2009,227.77,0,700,,7/9/2012,65,65 SEMI-MONTHLY,SEMI-MONTHLY,0,15405.05,16105.05,14805.05,0,0,0,4784.19,8658.77,2957.5,24,415 ARMOR DR,ATLANTA,GA,30324
10913,2001,CHEVROLET,BLAZER LS UTILI,1GNDT13W212197247,0,10/31/2009,BP,29.8,6546.17,8171.27,11/14/2009,189.94,0,500,6/26/2010,6/22/2010,65,65 BI-WEEKLY,BI-WEEKLY,0,12846.1,13346.1,12346.1,0,0,0,3674.83,275.29,270.6,69,8200 CHAPMAN TERRACE,MCDONOUGH,GA,30252
10914,2001,FORD,F150 XL SUPERCA,1FTRX18L51NA45222,0,1/20/2010,BP,29.8,13618.67,11723.26,1/28/2010,212.06,0,1500,7/1/2010,7/1/2010,94,94 BI-WEEKLY,BI-WEEKLY,0,20433.64,21933.64,19933.64,0,0,0,7710.38,127.07,291.42,25,77 ASHFORD WAY,GRIFFIN,GA,30223
10915,2004,PONTIAC,GRAND AM SE SED,1G2NE52F14M598575,0,2/19/2010,BP,29.8,10471.68,8406.88,3/5/2010,163.62,0,1000,9/17/2010,9/8/2010,78,78 BI-WEEKLY,BI-WEEKLY,0,12762.36,13762.36,12762.36,0,0,0,4355.48,472.61,673.21,26,1400 HERRINGTON ROAD  # 15204,LAWRENCEVILLE,GA,30044
10922,1990,JEEP,CHEROKEE LAREDO 4D U,1J4FJ58L5LL169348,264688,12/17/2010,C,0,0,0,12/17/2010,350,0,350,,,1,,MONTHLY,0,0,350,0,0,0,0,0,0,0,366,BO. 14 DE ABRIL,AL SUR,NC,
10925,1998,TOYOTA,CAMRY LE SEDAN,4T1BF22K0WU073562,0,11/2/2009,BP,29.8,0,8954.48,11/14/2009,196.82,0,500,,8/1/2012,70,70 BI-WEEKLY,BI-WEEKLY,0,14277.4,14777.4,13777.4,0,0,0,4322.92,8432.29,2969.19,27,565 PARIS DR,LAWRENCEVILLE,GA,30043
10930,2001,INFINITI,I30  SEDAN,JNKCA31A01T037647,0,11/7/2009,BP,29.8,8469.43,8505.08,11/21/2009,197.25,0,800,10/9/2010,9/30/2010,65,65 BI-WEEKLY,BI-WEEKLY,0,13321.25,14121.25,12821.25,0,0,0,3816.17,1110,861.07,28,5355 SUGARLOAF PKY,LAWRENCEVILLE,GA,30043
10933,2003,NISSAN,MURANO SL UTILI,JN8AZ08T73W101521,0,2/4/2010,BP,29.8,15802.24,14830.36,2/18/2010,298.37,0,1600,2/17/2011,2/4/2011,78,78 BI-WEEKLY,BI-WEEKLY,0,23772.86,25372.86,23272.86,0,0,0,7942.5,2472.27,2898.35,29,911 PEACHTREE STATION CIRCLE,PEACHTREE CITY,GA,30269
10939,2004,SAAB,9-3 LINEAR SEDA,YS3FB49S741037085,0,11/6/2009,BP,29.8,11087.73,11304.88,11/21/2009,269.75,0,1000,11/6/2010,11/4/2010,65,65 BI-WEEKLY,BI-WEEKLY,0,18533.75,19533.75,17533.75,0,0,0,5228.87,1392.87,1246.4,30,1564 HERRINGTON ROAD APT#1311,LAWRENCEVILLE,GA,30043
10942,2004,FORD,FOCUS SE SEDAN,1FAFP34324W171174,0,12/31/2009,BP,29.8,11018.05,9306.66,1/14/2010,200.34,0,700,10/14/2010,9/30/2010,72,72 SEMI-MONTHLY,SEMI-MONTHLY,0,14624.48,15324.48,14424.48,0,0,0,4917.82,792.88,1010.85,31,2770 BINGHAMPTON LANE,LAWRENCEVILLE,GA,30044
10945,2005,SUZUKI,FORENZA S SEDAN,KL5JD56Z35K137706,0,11/17/2009,BP,29.8,362.8,7898.88,12/1/2009,184.04,0,600,8/23/2011,8/6/2011,65,65 BI-WEEKLY,BI-WEEKLY,0,12465.6,13065.6,11962.6,0,0,0,3560.72,3801.41,1902.97,32,2874 SPRUCE CIR,SNELLVILLE,GA,30078
10946,2004,NISSAN,ALTIMA S SEDAN,1N4AL11D44C113494,0,12/18/2009,BP,29.8,6267.79,8652.86,1/1/2010,196.11,0,1000,4/22/2011,4/8/2011,65,65 BI-WEEKLY,BI-WEEKLY,0,13047.15,14047.15,12747.15,0,0,0,3794.29,2722.07,1788.6,33,5265 MAINSREET PARK DR,STONE MOUNTAIN,GA,30088
10947,2002,HYUNDAI,XG350 L SEDAN,KMHFU45E62A189126,0,12/23/2009,BP,29.8,0,8212.86,12/30/2009,183.23,0,800,3/9/2011,4/12/2011,65,65 BI-WEEKLY,BI-WEEKLY,0,12109.95,12909.95,11909.95,0,0,0,3497.09,2061.11,1418.65,34,631 SUMMER DRIVE NE,SANDY SPRINGS,GA,30328
10949,2003,MAZDA,PROTEGE PROTEGE,JM1BJ246531134761,0,12/19/2009,BP,29.8,0,9018.33,1/2/2010,206.3,0,1000,,4/21/2012,65,65 BI-WEEKLY,BI-WEEKLY,0,13809.5,14809.5,13409.5,0,0,0,3991.17,8469.05,2853.45,35,1435 BOGGS ROAD APT# 117,DULUTH,GA,30096
10950,2003,MITSUBISHI,GALANT ES SEDAN,4A3AA46G73E103160,0,11/30/2009,BP,29.8,4871.15,7633.36,12/14/2009,173.78,0,800,7/26/2010,7/17/2010,65,65 BI-WEEKLY,BI-WEEKLY,0,11595.7,12395.7,11295.7,0,0,0,3362.34,370.42,325.14,36,601 CRESTE DRIVE,DECATUR,GA,30035
10951,2001,VOLKSWAGEN,JETTA GLS SEDAN,3VWSK69M31M091014,0,12/31/2009,BP,29.8,4941.42,7586.58,1/6/2010,169.45,0,1000,7/24/2011,6/4/2011,65,65 BI-WEEKLY,BI-WEEKLY,0,11214.25,12214.25,11014.25,0,0,0,3227.67,2750.92,1683.07,37,1154 SIMONTON HILL CT.,LAWRENCEVILLE,GA,30045
10954,2001,NISSAN,SENTRA GXE SEDA,3N1CB51D11L518826,0,1/27/2010,BP,29.8,10812.75,9597.38,2/10/2010,200.13,0,1000,9/22/2010,9/10/2010,70,70 BI-WEEKLY,BI-WEEKLY,0,14009.1,15009.1,14009.1,0,0,0,4411.72,771.91,833.94,38,3900 CREEK WATER CT.,LAWRENCEVILLE,GA,30044
10955,1998,TOYOTA,CAMRY XLE SEDAN,4T1BG28K7WU297058,0,1/20/2010,BP,29.8,6951.12,9002.36,1/31/2010,210.94,0,1000,9/1/2010,9/10/2010,65,65 SEMI-MONTHLY,SEMI-MONTHLY,0,14111.1,15111.1,13711.1,0,0,0,4308.74,656.66,728.38,39,2807 VINING RIDGE TERRACE,DECATUR,GA,30034
10961,2000,FORD,EXPEDITION EDDI,1FMRU17L7YLA79934,0,1/29/2010,BP,29.8,0,11648.86,2/12/2010,210.85,0,1200,3/8/2013,2/26/2013,92,92 BI-WEEKLY,BI-WEEKLY,0,19698.2,20898.2,19398.2,0,0,0,7449.34,8975.18,6206.02,40,202 CANE AVE,SOCIAL CIRCLE,GA,30025
10962,2002,OLDSMOBILE,ALERO GL SEDAN,1G3NL52F22C246934,0,1/6/2010,BP,29.8,6895.78,8038.26,1/16/2010,182.05,0,500,7/17/2010,7/10/2010,65,65 BI-WEEKLY,BI-WEEKLY,0,12133.25,12633.25,11833.25,0,0,0,3494.99,278.8,270.22,41,807 BAYWOOD CIRCLE,MORROW,GA,30047
10963,2001,HONDA,ACCORD EX COUPE,1HGCG22531A024299,0,1/6/2010,BP,29.8,11687.56,8874.08,1/13/2010,205.14,0,1100,5/31/2010,,65,65 SEMI-MONTHLY,SEMI-MONTHLY,0,13634.1,14734.1,13334.1,0,0,0,4160.02,0,0,42,714 JACKSON PARK LANE,SUWANEE,GA,30024
10964,1999,TOYOTA,COROLLA LE SEDA,1NXBR12E1XZ235387,0,1/2/2010,BP,29.8,1580.7,8131.78,1/15/2010,189.48,0,500,9/30/2011,9/23/2011,65,65 SEMI-MONTHLY,SEMI-MONTHLY,0,12616.2,13116.2,12316.2,0,0,0,3884.42,3471.02,2404.48,43,380 SIONTON CREST DRIVE,LAWRENCEVILLE,GA,30045
10965,2003,JAGUAR,X-TYPE  SEDAN 3,SAJEA51C33WD01294,0,12/30/2009,BP,29.8,0,9560.33,1/13/2010,218.18,0,1100,,5/10/2012,65,65 BI-WEEKLY,BI-WEEKLY,0,14581.7,15681.7,14181.7,0,0,0,4221.37,9069.85,3133.23,44,2143 GRAYSTONE PARKWAY,GRAYSON,GA,30017
10968,2001,TOYOTA,CAMRY SOLARA SL,2T1FF28P71C519320,0,1/29/2010,BP,29.8,0,9105.88,2/12/2010,201.56,0,1500,,6/15/2012,64,64 BI-WEEKLY,BI-WEEKLY,0,12899.84,14399.84,12899.84,0,0,0,3793.96,8368.19,2902.73,45,236 RIVER ST,WALTHAM,MA,2453
10971,2005,NISSAN,SENTRA S SEDAN,3N1CB51D35L552353,0,1/12/2010,BP,29.8,0,7800.38,1/26/2010,170.86,0,2200,,3/28/2011,65,65 BI-WEEKLY,BI-WEEKLY,0,11105.9,13305.9,11105.9,0,0,0,3305.52,7091.84,2442.06,46,3432 SAINT VINCENT ST,PHILADELPHIA,PA,19149
10972,2003,SUZUKI,XL-7 TOURING HA,JS3TX92V134103691,0,2/8/2010,BP,29.8,0,7435.86,2/22/2010,144.72,0,4000,,2/2/2013,78,78 BI-WEEKLY,BI-WEEKLY,0,11288.16,15288.16,11288.16,0,0,0,3852.3,7023.33,3107.07,47,835 RAY DRIVE NW,CONYERS,GA,30012
10973,2005,CHEVROLET,TRAILBLAZER LT,1GNDS13SX52322002,0,1/30/2010,BP,29.8,6484.36,9541.16,2/13/2010,211.29,0,1100,7/31/2010,8/2/2010,68,68 BI-WEEKLY,BI-WEEKLY,0,14767.72,15867.72,14367.72,0,0,0,4426.56,423.93,478.14,48,1930 GLADEVIEW PARKWAY,STONE MOUNTAIN,GA,30083
10974,2005,JEEP,LIBERTY LIMITED,1J4GK58K15W623413,0,2/6/2010,BP,29.8,0,9943.38,2/20/2010,228.76,0,1700,,8/18/2012,65,65 BI-WEEKLY,BI-WEEKLY,0,15369.4,17069.4,14869.4,0,0,0,4426.02,9843.92,3651.48,49,1638 ROMAN POINT DR,NORCROSS,GA,30093
10975,2002,HYUNDAI,XG350 L SEDAN,KMHFU45E02A178610,0,2/16/2010,BP,29.8,7498.3,9795.38,3/20/2010,201.7,0,1000,10/16/2010,10/2/2010,73,73 BI-WEEKLY,BI-WEEKLY,0,15224.1,16224.1,15224.1,0,0,0,4928.72,865.99,1151.31,50,2506 ASHWORTH LAKE ROAD,SNELLVILLE,GA,30078
10978,2002,FORD,EXPEDITION EDDI,1FMRU17LX2LA01865,0,1/8/2010,BP,29.8,0,10493.81,1/22/2010,212.95,0,0,,10/26/2012,73,73 BI-WEEKLY,BI-WEEKLY,0,15545.35,15545.35,15545.35,0,0,0,5051.54,9645.47,3770.38,51,3235 PRICE HOUSE ROAD,WOODRUFF,SC,29388
10979,2005,NISSAN,FRONTIER SE,1N6AD07U95C408923,0,2/26/2010,BP,22.9,0,13502.86,3/12/2010,222.74,0,3000,,9/20/2013,92,92 BI-WEEKLY,BI-WEEKLY,0,20992.08,23992.08,20492.08,0,0,0,6489.22,13571.76,5806.62,52,115 H GRIER DRIVE,MC DONOUGH,GA,30253
10980,2006,SUZUKI,AERIO SX WAGON,JS2RC61HX65351067,0,3/27/2010,BP,29.8,0,8613.78,4/10/2010,197.44,0,1400,,8/30/2012,65,65 BI-WEEKLY,BI-WEEKLY,0,13233.6,14633.6,12833.6,0,0,0,3819.82,8760.08,3473.52,53,6740 WINDFAIRE DR,NORCROSS,GA,30093
10982,2003,MITSUBISHI,ECLIPSE GS COUP,4A3AC44GX3E066702,0,1/28/2010,BP,29.8,4569.76,7695.36,2/11/2010,177.32,0,1100,12/30/2010,12/16/2010,65,65 BI-WEEKLY,BI-WEEKLY,0,11925.8,13025.8,11525.8,0,0,0,3430.44,1447.1,1219.66,54,7221 STONE BRIDGE ROAD,CARNESVILLE,GA,30521
10985,2000,VOLKSWAGEN,GOLF GLS HATCHB,WVWGC21J6YW307125,0,2/12/2010,BP,29.8,4631.2,3881.88,2/19/2010,50,0,0,6/18/2010,6/11/2010,103,103 WEEKLY,WEEKLY,1,5150,9150,5150,4000,0,0,1268.12,58.27,41.73,97,4717 ROSWELL ROAD APT# F-7,ATLANTA,GA,30342
10988,2003,VOLKSWAGEN,JETTA GLS SEDAN,3VWSE69M43M111491,0,2/6/2010,BP,29.8,11230.58,8715.38,2/13/2010,212.03,0,800,6/19/2010,6/14/2010,60,60 BI-WEEKLY,BI-WEEKLY,0,13221.8,14021.8,12721.8,0,0,0,3506.42,111.97,103.03,55,1400 HERRINGTON ROAD,LILBURN,GA,30044
10989,2000,MITSUBISHI,MONTERO SPORT L,JA4MT41R5YP057224,0,3/3/2010,BP,29.8,11920,10271.63,3/17/2010,225,0,1500,9/1/2010,8/24/2010,65,65 BI-WEEKLY,BI-WEEKLY,0,14625,16125,14625,0,0,0,4353.37,659.95,685.05,56,2624 WAVERLY HILLS DRIVE,LAWRENCEVILLE,GA,30044
10990,2000,FORD,FOCUS ZTS SEDAN,1FAFP3834YW347514,0,2/9/2010,BP,29.8,2042.3,8587.48,2/23/2010,172.97,0,1000,1/6/2012,12/23/2011,78,78 BI-WEEKLY,BI-WEEKLY,0,13791.66,14791.66,13491.66,0,0,0,4604.18,3573,3057.35,57,1116 SUMMER RIDGE LANE,LAWRENCEVILLE,GA,30044
10991,2000,TOYOTA,4RUNNER SR5 UTI,JT3GN86R2Y0161499,0,2/13/2010,BP,29.8,0,8614.78,2/19/2010,178.17,0,2500,4/15/2011,4/15/2011,78,78 BI-WEEKLY,BI-WEEKLY,0,14497.26,16997.26,13897.26,0,0,0,4682.48,1864.06,2055.68,58,1222 HUNTERS CLUB LANE,NORCROSS,GA,30093
10992,2001,NISSAN,XTERRA SE UTILI,5N1ED28T51C590258,0,2/24/2010,BP,29.8,4819.8,8293.76,3/10/2010,154.55,0,2100,7/29/2011,7/21/2011,89,89 BI-WEEKLY,BI-WEEKLY,0,14054.95,16154.95,13754.95,0,0,0,5161.19,1950.07,2687.33,59,2675 WEST ROAD,RIVERDALE,GA,30296
10994,2004,MITSUBISHI,LANCER ES SEDAN,JA3AJ26E54U040197,0,4/16/2010,BP,29.8,0,8419.38,4/30/2010,173.95,0,2000,1/4/2013,1/16/2013,71,71 BI-WEEKLY,BI-WEEKLY,0,12350.45,14350.45,12350.45,0,0,0,3931.07,8177.77,3605.92,60,2305 GLOBAL FORUM BLVD,DORAVILLE,GA,30340
10996,1997,TOYOTA,4RUNNER SR5 UTI,JT3GN86R4V0024849,0,3/6/2010,BP,29.8,0,8847.88,3/20/2010,175.02,0,2500,5/26/2012,5/15/2012,76,76 BI-WEEKLY,BI-WEEKLY,0,13301.52,15801.52,13301.52,0,0,0,4453.64,5444.08,3492.82,61,5416 GEORGE TOWN TR,LILBURN,GA,30047
10997,2003,MITSUBISHI,GALANT ES SEDAN,4A3AA46H33E214832,0,2/26/2010,BP,29.8,0,9130.38,3/17/2010,184.29,0,1300,,3/2/2013,78,78 BI-WEEKLY,BI-WEEKLY,0,14674.62,15974.62,14374.62,0,0,0,4944.24,10718.1,2724.88,62,2175 WATERFORD PARK DRIVE,LAWRENCEVILLE,GA,30044
10998,2003,TOYOTA,COROLLA LE SEDA,1NXBR38E33Z048942,0,4/17/2010,BP,29.8,0,9918.36,5/1/2010,211.13,0,1000,,8/16/2013,78,78 SEMI-MONTHLY,SEMI-MONTHLY,0,17068.14,18068.14,16468.14,0,0,0,5949.78,10453.82,5789.32,63,345 WILDCAT LAKE DRIVE,LAWRENCEVILLE,GA,30043
10999,2003,HONDA,ODYSSEY EX WAGO,5FNRL18673B040904,0,2/18/2010,BP,29.8,3142.95,10223.78,3/4/2010,214.55,0,1000,1/19/2012,1/12/2012,78,78 BI-WEEKLY,BI-WEEKLY,0,17534.9,18534.9,16734.9,0,0,0,5711.12,5007.07,4226.68,65,6263 BRIGHTWELL PLACE,ACWORTH,GA,30102
11000,2006,CHRYSLER,TOWN & COUNTRY,1A4GP44R86B568014,0,2/15/2010,BP,29.8,0,8250.38,2/27/2010,166.14,0,2700,,2/22/2013,78,78 BI-WEEKLY,BI-WEEKLY,0,13258.92,15958.92,12958.92,0,0,0,4408.54,8015.42,3748.91,64,476 LAKE WATER ESTATE DR,STONE MOUNTAIN,GA,30087
11003,2005,CHRYSLER,TOWN & COUNTRY,2C4GP54L75R535285,0,3/5/2010,BP,29.8,0,9922.36,3/20/2010,215.42,0,1200,10/1/2011,10/24/2011,70,70 BI-WEEKLY,BI-WEEKLY,0,15479.4,16679.4,15079.4,0,0,0,4757.04,4090.9,3201.61,66,3349 ROCKMILL DRIVE,ELLENWOOD,GA,30294
11006,2003,JAGUAR,X-TYPE  SEDAN 2,SAJEA51D73XD27920,0,2/26/2010,BP,29.8,0,10912.86,3/12/2010,245.61,0,1500,9/7/2012,9/7/2012,65,65 BI-WEEKLY,BI-WEEKLY,0,16264.65,17764.65,15964.65,0,0,0,4751.79,10438.84,4051.76,67,5008 THE VLY NE,SANDY SPRINGS,GA,30328
